20	-4
21	-4
22	-4
23	-4
24	-4
26	-4
27	-4
29	-4
30	-4
32	-4
34	-4
36	-4
38	-4
40	-4
43	-4
45	-4
48	-4
50	-4
53	-4
56	-4
59	-4
63	-4
66	-4
70	-6.6
74	-6.6
78	-6.6
83	-6.6
87	-6.6
92	-6.6
97	-6.6
103	-6.6
109	-6.6
115	-6.6
121	-6.6
128	-6.6
136	-6.6
143	-6.6
151	-6.6
160	-6.6
169	-6.6
178	-6.6
188	-6.6
199	-6.6
210	-6.6
222	-6.6
235	-6.6
248	-6.6
262	-6.6
277	-6.6
292	-6.6
309	-6.6
326	-6.9
345	-8
364	-7.5
385	-7
406	-6.5
429	-5.9
453	-5.3
479	-4.8
506	-4.2
534	-3.7
565	-3.2
596	-2.7
630	-2.2
665	-1.9
703	-1.6
743	-1.5
784	-1.6
829	-1.8
875	-2.1
924	-2.5
977	-2.8
1032	-3
1090	-3.2
1151	-3.3
1216	-3.4
1284	-3.6
1357	-3.8
1433	-4.1
1514	-4.3
1599	-4.6
1689	-4.8
1784	-5
1885	-5.1
1991	-5.1
2103	-5.1
2221	-5.1
2347	-5
2479	-4.9
2618	-4.7
2766	-4.5
2921	-4.3
3086	-4
3260	-3.8
3443	-3.6
3637	-3.4
3842	-1.9
4058	0
4287	-0.6
4528	-0.6
4783	-0.6
5052	-0.6
5337	-0.6
5637	-1.1
5955	-3.4
6290	-4.5
6644	-5.4
7018	-7.2
7414	-8.8
7831	-9.1
8272	-8.5
8738	-8
9230	-7.2
9749	-5.8
10298	-4.3
10878	-3.1
11490	-2.4
12137	-1.7
12821	-2.1
13543	-2.9
14305	-4.1
15110	-5.6
15961	-7.6
16860	-9.9
17809	-12.6
18812	-14.6
19871	-14.6
